ID	NAME	COLLECTION	C NUM	O NUM.	DISCOVERED	D DATE	FINDER	SECRET ID
GEN001	Glimmer	Genesis	1	1	FALSE			770efc73f5da4c9c
GEN002	Pebble	Genesis	2	2	FALSE			7f25e397ea1a1a74
GEN003	Milo	Genesis	3	3	FALSE			907f8c852b7f59b9
GEN004	Mossy	Genesis	4	4	FALSE			9231b2e85f72cdee
GEN005	Pip	Genesis	5	5	FALSE			2ab0ca5d67093439
GEN006	Bramble	Genesis	6	6	FALSE			0a499eb48c3597e7
GEN007	Flint	Genesis	7	7	FALSE			a3199fa4737538c4
GEN008	Ember	Genesis	8	8	FALSE			2a9e3a38c115c487
GEN009	Sprout	Genesis	9	9	FALSE			bf95e3db2bfee89e
GEN010	Ziggy	Genesis	10	10	FALSE			ad73bcfc7ef48053
GEN011	Rune	Genesis	11	11	FALSE			9f50ec40ccd6e446
GEN012	Oat	Genesis	12	12	FALSE			25551a8aa0bb1cae
GEN013	Cricket	Genesis	13	13	FALSE			db41ada5000cfb0f
GEN014	Jasper	Genesis	14	14	FALSE			4b61abc8b78963d2
GEN015	Twig	Genesis	15	15	FALSE			00da6a9b33ff4414
GEN016	Nico	Genesis	16	16	FALSE			2d77672869a9fe70
GEN017	Cinder	Genesis	17	17	FALSE			83cdf66360e04da5
GEN018	Blink	Genesis	18	18	FALSE			053ba7f780fee6b5
GEN019	Hazel	Genesis	19	19	FALSE			3e0c841dc32657ce
GEN020	Echo	Genesis	20	20	FALSE			df44889979d7ee38
GEN021	Finch	Genesis	21	21	FALSE			975a074438f5a209
GEN022	Copper	Genesis	22	22	FALSE			1fe4ca8acf65514c
GEN023	Orion	Genesis	23	23	FALSE			78202521e0d7c7a5
